,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2008,0.327,0.107,5,-21.7,0,0.0306,0.944,0.93,0.0994,0.112,96.045,audio_features,2dXBcXQmElv95h7Fl0P623,spotify:track:2dXBcXQmElv95h7Fl0P623,https://api.spotify.com/v1/tracks/2dXBcXQmElv95h7Fl0P623,https://api.spotify.com/v1/audio-analysis/2dXBcXQmElv95h7Fl0P623,259643,4
2009,0.579,0.136,8,-20.458,1,0.0378,0.866,0.633,0.122,0.0711,99.507,audio_features,3hWjbyHK72kyF3CXMCjoSx,spotify:track:3hWjbyHK72kyF3CXMCjoSx,https://api.spotify.com/v1/tracks/3hWjbyHK72kyF3CXMCjoSx,https://api.spotify.com/v1/audio-analysis/3hWjbyHK72kyF3CXMCjoSx,236938,4
2010,0.64,0.168,0,-18.799,1,0.0457,0.92,0.948,0.127,0.395,61.171,audio_features,2sOncurUkrw3CYWliyxYSU,spotify:track:2sOncurUkrw3CYWliyxYSU,https://api.spotify.com/v1/tracks/2sOncurUkrw3CYWliyxYSU,https://api.spotify.com/v1/audio-analysis/2sOncurUkrw3CYWliyxYSU,148902,4
2011,0.47,0.174,7,-18.095,1,0.0316,0.895,0.934,0.104,0.307,87.75,audio_features,4q86fROSuJgs5J8pX8YBZM,spotify:track:4q86fROSuJgs5J8pX8YBZM,https://api.spotify.com/v1/tracks/4q86fROSuJgs5J8pX8YBZM,https://api.spotify.com/v1/audio-analysis/4q86fROSuJgs5J8pX8YBZM,206457,3
2012,0.382,0.162,0,-17.792,1,0.0357,0.916,0.939,0.1,0.0743,83.912,audio_features,5P2fFIHidJIgfcHgs7v4fK,spotify:track:5P2fFIHidJIgfcHgs7v4fK,https://api.spotify.com/v1/tracks/5P2fFIHidJIgfcHgs7v4fK,https://api.spotify.com/v1/audio-analysis/5P2fFIHidJIgfcHgs7v4fK,190169,4
2013,0.549,0.157,7,-19.482,0,0.0317,0.92,0.595,0.0885,0.209,101.94,audio_features,71qHUeI08SIXKXzSrOqcxj,spotify:track:71qHUeI08SIXKXzSrOqcxj,https://api.spotify.com/v1/tracks/71qHUeI08SIXKXzSrOqcxj,https://api.spotify.com/v1/audio-analysis/71qHUeI08SIXKXzSrOqcxj,185882,4
2014,0.507,0.111,10,-21.362,1,0.0348,0.979,0.921,0.0938,0.156,107.154,audio_features,7bsrxWD78NPHkQGdWDtVKA,spotify:track:7bsrxWD78NPHkQGdWDtVKA,https://api.spotify.com/v1/tracks/7bsrxWD78NPHkQGdWDtVKA,https://api.spotify.com/v1/audio-analysis/7bsrxWD78NPHkQGdWDtVKA,226043,4
2015,0.435,0.125,9,-20.376,0,0.0406,0.957,0.92,0.121,0.0935,144.174,audio_features,5c6uQOFSUzRGOiEVdDB6Zx,spotify:track:5c6uQOFSUzRGOiEVdDB6Zx,https://api.spotify.com/v1/tracks/5c6uQOFSUzRGOiEVdDB6Zx,https://api.spotify.com/v1/audio-analysis/5c6uQOFSUzRGOiEVdDB6Zx,244195,4
2016,0.378,0.173,5,-17.799,1,0.0339,0.99,0.798,0.0992,0.19,90.427,audio_features,3W7AQiUlT9SVueyv0ZqZ9G,spotify:track:3W7AQiUlT9SVueyv0ZqZ9G,https://api.spotify.com/v1/tracks/3W7AQiUlT9SVueyv0ZqZ9G,https://api.spotify.com/v1/audio-analysis/3W7AQiUlT9SVueyv0ZqZ9G,190802,4
2017,0.341,0.0429,1,-23.737,1,0.0371,0.924,0.81,0.0835,0.0748,103.288,audio_features,7F3h33seOeoDMEW65Vz2mj,spotify:track:7F3h33seOeoDMEW65Vz2mj,https://api.spotify.com/v1/tracks/7F3h33seOeoDMEW65Vz2mj,https://api.spotify.com/v1/audio-analysis/7F3h33seOeoDMEW65Vz2mj,225562,4
2018,0.496,0.134,6,-19.588,1,0.0385,0.958,0.946,0.107,0.0407,98.992,audio_features,7xuOv4oO4lghAaoS27dIEx,spotify:track:7xuOv4oO4lghAaoS27dIEx,https://api.spotify.com/v1/tracks/7xuOv4oO4lghAaoS27dIEx,https://api.spotify.com/v1/audio-analysis/7xuOv4oO4lghAaoS27dIEx,242399,4
2019,0.609,0.124,5,-18.372,0,0.0351,0.711,0.564,0.128,0.075,100.455,audio_features,2BlPcDhmDzUyD5cWFyvmoy,spotify:track:2BlPcDhmDzUyD5cWFyvmoy,https://api.spotify.com/v1/tracks/2BlPcDhmDzUyD5cWFyvmoy,https://api.spotify.com/v1/audio-analysis/2BlPcDhmDzUyD5cWFyvmoy,274021,4
2020,0.595,0.195,9,-16.455,1,0.0428,0.957,0.885,0.117,0.11,121.764,audio_features,26Ei3Nv4ZZpSNDoGLWlcmR,spotify:track:26Ei3Nv4ZZpSNDoGLWlcmR,https://api.spotify.com/v1/tracks/26Ei3Nv4ZZpSNDoGLWlcmR,https://api.spotify.com/v1/audio-analysis/26Ei3Nv4ZZpSNDoGLWlcmR,210342,4
2021,0.571,0.141,3,-17.841,1,0.0428,0.979,0.93,0.139,0.141,62.829,audio_features,1S34dvZPhsw0gIevtZrc0A,spotify:track:1S34dvZPhsw0gIevtZrc0A,https://api.spotify.com/v1/tracks/1S34dvZPhsw0gIevtZrc0A,https://api.spotify.com/v1/audio-analysis/1S34dvZPhsw0gIevtZrc0A,192154,4
2022,0.513,0.149,9,-17.214,0,0.0399,0.948,0.898,0.128,0.151,121.987,audio_features,6EKISMrXCzFNA9UaMtr0he,spotify:track:6EKISMrXCzFNA9UaMtr0he,https://api.spotify.com/v1/tracks/6EKISMrXCzFNA9UaMtr0he,https://api.spotify.com/v1/audio-analysis/6EKISMrXCzFNA9UaMtr0he,262902,4
2023,0.528,0.155,1,-18.724,1,0.0357,0.844,0.284,0.111,0.055,97.556,audio_features,3A2U0deukLyVDP7IMDPk5K,spotify:track:3A2U0deukLyVDP7IMDPk5K,https://api.spotify.com/v1/tracks/3A2U0deukLyVDP7IMDPk5K,https://api.spotify.com/v1/audio-analysis/3A2U0deukLyVDP7IMDPk5K,230681,4
2024,0.38,0.0434,8,-26.167,1,0.0346,0.854,0.363,0.172,0.141,87.208,audio_features,3kmQxusMYqIaXIoWeatRDh,spotify:track:3kmQxusMYqIaXIoWeatRDh,https://api.spotify.com/v1/tracks/3kmQxusMYqIaXIoWeatRDh,https://api.spotify.com/v1/audio-analysis/3kmQxusMYqIaXIoWeatRDh,241392,3
2025,0.453,0.142,8,-19.092,0,0.0297,0.849,0.0316,0.171,0.0859,82.818,audio_features,04OlOJOsWy6RUWgyhixoqk,spotify:track:04OlOJOsWy6RUWgyhixoqk,https://api.spotify.com/v1/tracks/04OlOJOsWy6RUWgyhixoqk,https://api.spotify.com/v1/audio-analysis/04OlOJOsWy6RUWgyhixoqk,176730,4
2026,0.474,0.159,0,-16.212,0,0.0393,0.963,0.916,0.156,0.267,110.289,audio_features,3WuYbFjNzxV1iHsopkRE5v,spotify:track:3WuYbFjNzxV1iHsopkRE5v,https://api.spotify.com/v1/tracks/3WuYbFjNzxV1iHsopkRE5v,https://api.spotify.com/v1/audio-analysis/3WuYbFjNzxV1iHsopkRE5v,237983,4
2027,0.41,0.0451,9,-19.938,0,0.0335,0.898,0.79,0.108,0.0818,77.941,audio_features,1TUqjCJdD9GvReZr3IpOkl,spotify:track:1TUqjCJdD9GvReZr3IpOkl,https://api.spotify.com/v1/tracks/1TUqjCJdD9GvReZr3IpOkl,https://api.spotify.com/v1/audio-analysis/1TUqjCJdD9GvReZr3IpOkl,179424,3
2028,0.561,0.0579,7,-22.358,0,0.0358,0.972,0.931,0.11,0.173,103.85,audio_features,6L620MzHPZRTYKqi1mXiaw,spotify:track:6L620MzHPZRTYKqi1mXiaw,https://api.spotify.com/v1/tracks/6L620MzHPZRTYKqi1mXiaw,https://api.spotify.com/v1/audio-analysis/6L620MzHPZRTYKqi1mXiaw,210292,4
2029,0.447,0.113,10,-20.352,0,0.0401,0.965,0.925,0.1,0.178,114.85,audio_features,76bxYaBhzR5YOIrgmNUUJ5,spotify:track:76bxYaBhzR5YOIrgmNUUJ5,https://api.spotify.com/v1/tracks/76bxYaBhzR5YOIrgmNUUJ5,https://api.spotify.com/v1/audio-analysis/76bxYaBhzR5YOIrgmNUUJ5,236327,4
2030,0.451,0.18,0,-17.913,0,0.0331,0.906,0.906,0.103,0.153,115.208,audio_features,0w7ufvu7otF8UGX12XZQPb,spotify:track:0w7ufvu7otF8UGX12XZQPb,https://api.spotify.com/v1/tracks/0w7ufvu7otF8UGX12XZQPb,https://api.spotify.com/v1/audio-analysis/0w7ufvu7otF8UGX12XZQPb,220443,4
2031,0.492,0.116,7,-19.484,1,0.0327,0.747,0.753,0.0924,0.165,70.044,audio_features,7m8rFWJzA6VJQnLVqiWvGL,spotify:track:7m8rFWJzA6VJQnLVqiWvGL,https://api.spotify.com/v1/tracks/7m8rFWJzA6VJQnLVqiWvGL,https://api.spotify.com/v1/audio-analysis/7m8rFWJzA6VJQnLVqiWvGL,160866,3
